time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1992-07-08T23:58:22.600Z,34.234,-116.837,-1.924,3.29,ml,0,24,,0.194,ci,ci3039838,2016-02-10T21:59:55.729Z,"3km SSE of Big Bear City, California",earthquake,,0.371,,35,reviewed,ci,ci
1992-07-08T23:53:12.410Z,34.248,-116.714,-1.677,2.88,mc,0,31,,0.194,ci,ci3039837,2016-02-10T07:44:54.507Z,"12km E of Big Bear City, California",earthquake,,0.279,,84,reviewed,ci,ci
1992-07-08T23:43:21.590Z,34.253,-116.424,1.323,2.54,mc,0,61.2,,0.108,ci,ci3039817,2016-02-10T14:46:37.684Z,"16km N of Yucca Valley, California",earthquake,,0.467,,6,reviewed,ci,ci
1992-07-08T23:35:16.700Z,34.388,-116.467,-0.874,2.77,ml,0,69.5,,0.191,ci,ci3039814,2016-02-10T14:46:36.019Z,"31km N of Yucca Valley, California",earthquake,,0.591,,16,reviewed,ci,ci
1992-07-08T23:29:26.530Z,34.135,-116.431,1.771,2.67,mc,0,39,,0.246,ci,ci3039813,2016-02-10T14:46:34.458Z,"2km N of Yucca Valley, California",earthquake,,0.44,,34,reviewed,ci,ci
1992-07-08T23:23:21.200Z,34.236,-116.837,-1.564,2.71,ml,0,41,,0.182,ci,ci3039812,2016-02-10T21:59:54.332Z,"3km SSE of Big Bear City, California",earthquake,,0.267,,21,reviewed,ci,ci
1992-07-08T23:04:54.220Z,34.615,-116.65,3.234,2.62,mc,0,72.1,,0.131,ci,ci3039805,2016-02-10T00:37:23.901Z,"35km ENE of Lucerne Valley, California",earthquake,,0.219,,16,reviewed,ci,ci
1992-07-08T23:01:23.240Z,34.115,-116.378,0.264,2.87,ml,0,43.9,,0.175,ci,ci3040651,2016-02-10T11:19:53.913Z,"5km E of Yucca Valley, California",earthquake,,0.395,,22,reviewed,ci,ci
1992-07-08T23:00:25.220Z,33.183,-115.6,4.619,3.5,ml,0,57.2,0.07488,0.262,ci,ci3039804,2016-02-10T14:46:30.697Z,"10km SW of Niland, California",earthquake,,0.253,,15,reviewed,ci,ci
1992-07-08T22:52:48.580Z,35.164,-116.831,5.05,2.8,mc,0,149.4,0.2578,0.16,ci,ci3092527,2016-02-10T14:46:29.337Z,"17km SW of Fort Irwin, California",earthquake,,,,55,reviewed,ci,ci
1992-07-08T22:52:40.480Z,35.171,-116.812,1.075,2.63,mc,0,104.2,0.1306,0.16,ci,ci3092526,2016-02-10T00:37:21.360Z,"15km SW of Fort Irwin, California",earthquake,,0.82,,56,reviewed,ci,ci
1992-07-08T22:52:28.820Z,34.166,-116.445,-0.773,2.78,mc,0,96.7,0.1184,0.213,ci,ci3039801,2016-02-10T14:46:28.031Z,"6km NNW of Yucca Valley, California",earthquake,,1.525,,46,reviewed,ci,ci
1992-07-08T22:38:12.060Z,34.455,-116.49,2.254,2.77,mc,0,58,,0.22,ci,ci3039799,2016-02-10T00:37:18.777Z,"38km N of Yucca Valley, California",earthquake,,0.379,,60,reviewed,ci,ci
1992-07-08T22:35:03.850Z,34.131,-116.379,3.997,2.51,mc,0,74.3,,0.135,ci,ci3039795,2016-02-10T21:59:50.479Z,"5km ENE of Yucca Valley, California",earthquake,,8.01,,52,reviewed,ci,ci
1992-07-08T22:20:25.420Z,34.237,-116.838,-1.927,2.79,mc,0,41.1,,0.214,ci,ci3040631,2016-02-10T14:46:23.978Z,"3km SSE of Big Bear City, California",earthquake,,0.473,,66,reviewed,ci,ci
1992-07-08T22:19:26.080Z,35.175,-116.818,-0.775,2.82,ml,0,102.5,,0.233,ci,ci3039789,2016-02-10T04:13:54.913Z,"16km SW of Fort Irwin, California",earthquake,,0.831,,15,reviewed,ci,ci
1992-07-08T22:12:13.620Z,34.954,-116.92,-1.019,2.67,mc,0,63.1,,0.274,ci,ci3039785,2016-02-09T20:54:26.093Z,"11km ENE of Barstow, California",earthquake,,0.935,,74,reviewed,ci,ci
1992-07-08T22:05:15.160Z,35.054,-116.987,2.567,2.71,mc,0,61.9,0.09376,0.211,ci,ci3039782,2016-02-10T14:46:22.606Z,"18km N of Barstow, California",earthquake,,0.434,,59,reviewed,ci,ci
1992-07-08T21:58:41.990Z,34.591,-116.636,2.374,2.57,mc,0,59.1,,0.209,ci,ci3105134,2016-02-10T18:19:52.484Z,"34km ENE of Lucerne Valley, California",earthquake,,0.541,,52,reviewed,ci,ci
1992-07-08T21:25:15.340Z,35.167,-116.816,-0.785,3,ml,0,102.8,,0.228,ci,ci3039766,2016-02-10T00:37:12.275Z,"16km SW of Fort Irwin, California",earthquake,,0.994,,30,reviewed,ci,ci
1992-07-08T21:19:19.380Z,34.948,-116.779,0.275,2.57,mc,0,77.3,,0.162,ci,ci3039760,2016-02-10T21:59:46.681Z,"23km ENE of Barstow, California",earthquake,,1.712,,46,reviewed,ci,ci
1992-07-08T20:55:25.080Z,35.151,-116.774,5.233,2.72,mc,0,152.3,0.2824,0.191,ci,ci3092519,2016-02-10T04:13:49.603Z,"15km SSW of Fort Irwin, California",earthquake,,,,27,reviewed,ci,ci
1992-07-08T20:55:11.960Z,35.164,-116.813,-0.225,2.74,mc,0,103.2,0.1376,0.124,ci,ci3092521,2016-02-10T04:13:48.323Z,"16km SW of Fort Irwin, California",earthquake,,1.917,,35,reviewed,ci,ci
1992-07-08T20:55:11.510Z,34.116,-116.973,2.763,2.7,mc,0,44.8,,0.145,ci,ci3039729,2016-02-10T18:19:51.152Z,"11km NE of Yucaipa, California",earthquake,,0.181,,67,reviewed,ci,ci
1992-07-08T20:54:32.770Z,35.169,-116.81,1.185,2.92,mc,0,104.9,0.1325,0.149,ci,ci3092503,2016-02-10T21:59:40.388Z,"15km SW of Fort Irwin, California",earthquake,,1.416,,7,reviewed,ci,ci
1992-07-08T20:53:28.560Z,35.176,-116.819,-0.145,2.79,mc,0,114,0.126,0.156,ci,ci3092497,2016-02-10T00:37:10.875Z,"16km SW of Fort Irwin, California",earthquake,,2.68,,5,reviewed,ci,ci
1992-07-08T20:50:02.170Z,35.029,-116.966,2.051,2.67,mc,0,61.4,,0.303,ci,ci3039726,2016-02-10T04:13:47.097Z,"15km NNE of Barstow, California",earthquake,,0.308,,49,reviewed,ci,ci
1992-07-08T20:42:18.000Z,34.627,-116.646,8.993,2.82,mc,0,92.3,,0.147,ci,ci3092468,2016-02-10T18:19:49.681Z,"36km NE of Lucerne Valley, California",earthquake,,0.599,,6,reviewed,ci,ci
1992-07-08T20:41:47.650Z,34.386,-116.462,4.721,2.76,mc,0,99.3,,0.296,ci,ci3039720,2016-02-10T14:46:18.947Z,"30km N of Yucca Valley, California",earthquake,,,,68,reviewed,ci,ci
1992-07-08T20:23:27.100Z,34.264,-116.411,-0.91,2.82,mc,0,58.6,,0.273,ci,ci3092457,2016-02-10T07:44:43.778Z,"17km N of Yucca Valley, California",earthquake,,0.498,,68,reviewed,ci,ci
1992-07-08T19:47:18.530Z,34.074,-116.377,1.59,3.24,ml,0,43.1,,0.19,ci,ci3104892,2016-02-10T11:19:45.492Z,"7km SE of Yucca Valley, California",earthquake,,0.302,,31,reviewed,ci,ci
1992-07-08T19:40:09.650Z,34.615,-116.675,5.95,2.91,ml,0,56.6,,0.144,ci,ci3039694,2016-02-10T07:44:38.368Z,"33km NE of Lucerne Valley, California",earthquake,,1.058,,15,reviewed,ci,ci
1992-07-08T19:34:48.870Z,35.006,-116.962,3.981,3.14,ml,0,61.2,,0.192,ci,ci3039692,2016-02-10T18:19:44.468Z,"13km NNE of Barstow, California",earthquake,,0.572,,23,reviewed,ci,ci
1992-07-08T19:01:35.320Z,34.555,-116.564,3.892,2.93,mc,0,64,,0.181,ci,ci3039674,2016-02-09T20:54:14.606Z,"39km ENE of Lucerne Valley, California",earthquake,,0.457,,82,reviewed,ci,ci
1992-07-08T18:22:30.800Z,35.23,-116.894,1.383,2.64,mc,0,93.5,,0.089,ci,ci3039346,2016-02-10T21:59:28.626Z,"19km W of Fort Irwin, California",earthquake,,1.295,,45,reviewed,ci,ci
1992-07-08T18:19:12.790Z,34.293,-116.481,4.907,3.21,ml,0,60.5,,0.244,ci,ci3039300,2016-02-10T18:19:36.484Z,"20km NNW of Yucca Valley, California",earthquake,,,,26,reviewed,ci,ci
1992-07-08T17:59:51.950Z,34.259,-116.454,1.917,3.21,ml,0,61.8,,0.209,ci,ci3039208,2016-02-10T11:19:40.354Z,"16km N of Yucca Valley, California",earthquake,,2.072,,28,reviewed,ci,ci
1992-07-08T17:58:12.640Z,35.228,-116.881,0.415,2.51,mc,0,80.7,0.09597,0.101,ci,ci3207037,2016-02-10T18:19:34.966Z,"18km WSW of Fort Irwin, California",earthquake,,0.716,,52,reviewed,ci,ci
1992-07-08T17:56:10.800Z,34.599,-116.631,2.962,2.86,mc,0,75.9,,0.219,ci,ci3039040,2016-02-10T04:13:33.513Z,"35km ENE of Lucerne Valley, California",earthquake,,0.353,,82,reviewed,ci,ci
1992-07-08T17:47:13.730Z,33.489,-118.083,5.794,3.55,ml,0,102.8,,0.3,ci,ci3038989,2016-02-10T00:37:04.033Z,"20km SW of Newport Beach, California",earthquake,,,,33,reviewed,ci,ci
1992-07-08T17:36:53.410Z,34.107,-116.825,0.647,2.55,mc,0,29,,0.2,ci,ci3038888,2016-02-10T04:13:30.056Z,"17km SSE of Big Bear Lake, California",earthquake,,0.255,,53,reviewed,ci,ci
1992-07-08T17:33:37.300Z,34.614,-116.365,4.514,2.51,mc,0,108.6,,0.323,ci,ci3038847,2016-02-10T14:46:05.543Z,"22km WSW of Ludlow, California",earthquake,,8.259,,60,reviewed,ci,ci
1992-07-08T16:51:03.920Z,35.228,-116.889,-0.217,2.61,mc,0,94.9,0.1003,0.179,ci,ci3038465,2016-02-09T20:54:08.807Z,"19km WSW of Fort Irwin, California",earthquake,,1.38,,23,reviewed,ci,ci
