deg,rel_rate,id
175,1.785595,35
170,1.037858,34
165,0.395261,33
160,1.390107,32
155,2.157637,31
150,1.271594,30
145,0.714177,29
140,1.77634,28
135,1.42354,27
130,0.480765,26
125,1.34517,25
120,1.386468,24
115,1.1746,23
110,1.233587,22
105,1.423932,21
100,1.292698,20
95,0.802476,19
90,0.637045,18
85,1.830412,17
80,2.364071,16
75,1.163819,15
70,0.904477,14
65,1.074571,13
60,1.129321,12
55,1.125739,11
50,0.800884,10
45,0.700275,9
40,0.914088,8
35,0.737311,7
30,0.602114,6
25,0,5
20,0,4
15,0,3
10,0,2
5,0,1
-5,0,1
-10,0,2
-15,0,3
-20,0,4
-25,0,5
-30,0.602114,6
-35,0.737311,7
-40,0.914088,8
-45,0.700275,9
-50,0.800884,10
-55,1.125739,11
-60,1.129321,12
-65,1.074571,13
-70,0.904477,14
-75,1.163819,15
-80,2.364071,16
-85,1.830412,17
-90,0.637045,18
-95,0.802476,19
-100,1.292698,20
-105,1.423932,21
-110,1.233587,22
-115,1.1746,23
-120,1.386468,24
-125,1.34517,25
-130,0.480765,26
-135,1.42354,27
-140,1.77634,28
-145,0.714177,29
-150,1.271594,30
-155,2.157637,31
-160,1.390107,32
-165,0.395261,33
-170,1.037858,34
-175,1.785595,35
